iter	Passed	Remaining
0	0	32
1	0	32
2	0	31
3	1	29
4	1	28
5	1	27
6	2	27
7	2	27
8	2	26
9	2	26
10	3	26
11	3	25
12	3	25
13	4	25
14	4	25
15	4	25
16	5	25
17	5	25
18	5	24
19	6	24
20	6	24
21	6	24
22	7	23
23	7	23
24	7	22
25	8	22
26	8	22
27	8	22
28	8	21
29	9	21
30	9	21
31	9	21
32	10	20
33	10	20
34	10	20
35	11	20
36	11	19
37	11	19
38	12	19
39	12	18
40	12	18
41	13	18
42	13	17
43	13	17
44	14	17
45	14	17
46	15	16
47	15	16
48	15	16
49	16	16
50	16	15
51	16	15
52	17	15
53	17	14
54	17	14
55	17	14
56	18	13
57	18	13
58	19	13
59	19	12
60	19	12
61	20	12
62	20	11
63	20	11
64	21	11
65	21	11
66	21	10
67	22	10
68	22	10
69	22	9
70	23	9
71	23	9
72	23	8
73	24	8
74	24	8
75	24	7
76	25	7
77	25	7
78	25	6
79	26	6
80	26	6
81	26	5
82	27	5
83	27	5
84	27	4
85	28	4
86	28	4
87	28	3
88	29	3
89	29	3
90	29	2
91	30	2
92	30	2
93	30	1
94	31	1
95	31	1
96	31	0
97	32	0
98	32	0
99	32	0
